user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
129652,31499,55578,347822,117781,482376,199020,229524,187281,251626,39835,174991,353131,145352,47559,386849,57222,89831
131021,1133190,36944,666723,529278,227652,579298,173579,623399,53932,37779,22015,347822,1581225,486718,222564,169969,43083
131126,358796,232480,1269015,182624,252816,593513,88099,369715,386585,226863,60989,8688,286851,373018,218535,229619,386849
132383,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
133174,27783,54678,60992,229619,140132,1179225,218535,265954,33159,1365025,666723,55729,131021,371738,5060,32058,222564
134624,486718,142335,52543,481092,280166,230557,52125,447165,288351,914720,620763,158086,55729,222433,1535,906665,359220
135887,166294,173880,203111,64642,428885,11176,27643,189475,879716,839492,57222,620763,593513,1269015,203325,140806,61660
136997,13796,844554,341344,13483,74652,37036,189616,97579,4470,168462,68884,43083,1800054678,128473,37779,119466,180090
138429,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
140132,42720,92816,373817,133174,54678,24386,147109,95743,46660,22015,937635,40961,229619,198154,145352,377581,808027
140806,27643,160974,198154,125388,371738,60989,222433,74281,126104,362983,8629,844554,173880,625696,529278,227652,59473
142335,447165,230557,59473,226863,134624,232480,60260,229850,121185,222433,1581225,50151,125640,1179225,839492,278113,191533
142367,362983,173579,42720,47510,38643,126104,104295,60260,969481,690623,58836,539686,294000,64583,189475,22015,329638
142559,359220,184723,230557,486718,407007,485151,204024,288351,80998,55578,101823,129652,185446,91392,373018,461834,97579
145352,165933,47510,256795,60260,39835,620763,1581225,52125,65056,129652,40961,242484,140132,37636,227607,46660,8629
146047,252816,55729,134624,222564,906665,318235,847160,969481,177753,125640,37636,140132,91392,1133190,81611,222433,256795
146284,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
146486,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
147109,27783,54678,60992,229619,140132,288146,439797,158086,1179225,625696,177933,173880,166294,632249,64583,203111,55729
149363,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
157425,2123645,22015,400708,125640,229619,91392,131021,227652,789516,173579,906665,227607,203325,248023,620763,33159,57042
158086,546010,663997,52125,285039,439797,593513,620763,57042,690623,147109,55729,134624,632249,185446,68960,222564,906665
160974,44383,386849,57042,222970,140806,265954,377581,43083,37036,369715,140132,1269015,248023,134624,285039,252816,117781
164368,1133190,169969,32058,105601,44383,180090,400708,204024,8629,89831,579298,560491,74652,353579,315055,288146,191533
165933,145352,185446,91392,47510,529278,264017,256795,60260,173579,928301,37779,623399,1581225,129652,39835,620763,140132
166294,11176,64642,135887,189475,57222,623399,625696,248023,121185,51011,382203,280271,620763,1052873,147109,250031,80998
166642,129652,39835,43083,969481,232190,280166,218535,377581,906665,847160,60989,227652,315055,203111,125640,198154,288351
168462,386849,357358,43083,101034,353131,32058,46660,1365025,230557,88099,68960,136997,232480,1535,74652,189616,54678
169969,89831,180090,204024,191533,74652,44383,579298,164368,560491,125640,318235,230557,288146,97579,227607,37779,36944
171084,92886,969481,97579,298447,400708,103876,50969,242484,808027,47510,620763,1365025,847160,55729,101823,117781,37636
171790,4470,5060,7108,8629,8688,9869,11176,13483,13796,17803,18391,20480,22015,22655,24386,26512,27643
172369,101034,27783,394077,464080,914720,199792,357358,55578,37036,121185,222564,601528,80998,690623,1269015,623399,60260
